Название товара;Артикул Ozon;Артикул продавца;Ссылка на товар;Бренд;Категория 1 уровня;Категория 3 уровня;Super-товар;Заказано на сумму, ₽;Динамика суммы заказов, %;Заказано товаров;Самая низкая цена, ₽;Средняя цена покупки, ₽;Упущенные продажи, ₽;Дней без остатка, дни;Среднесуточные продажи, ₽;Среднесуточные продажи, штуки;Схема работы;Среднее время доставки;Объем товара, л;Доля затрат на Ozon, FBO, %;Доля затрат на Ozon, FBS, %;Показы в поиске и каталоге;Посещения карточки товара;В корзину из поиска и каталога, %;В корзину из карточки, %;Доля рекламных расходов, %;Доля выкупа, %;Дата создания карточки товара
—;—;—;—;—;—;—;Приносят больше выручки и чаще продаются. А ещё за их поставки можно получить бонусы и скидки. Узнайте, какие Super-товары продают на Ozon сейчас;Общая стоимость заказанных товаров, включая отмены и возвраты. Для расчёта берём цену, которую заплатил покупатель, с учётом скидок продавца и покупателя;Как изменилась суммарная стоимость заказов в сравнении с предыдущим периодом;Общее количество заказанных товаров;Самая низкая цена, которую заплатил покупатель, с учётом скидок продавца и покупателя;Средняя цена, которую заплатил покупатель, с учётом скидок продавца и покупателя;Сколько выручки мог бы ещё получить продавец, если бы товар был на складе все 28 дней;Считаем сколько дней из последних 28 товар был в наличии;Средняя сумма заказов в сутки (ADS) — делим сумму всех продаж за 28 дней на количество дней, когда товар был в наличии. Не вычитаем возвраты и отмены;Среднее количество заказов в сутки — делим количество всех заказов за 28 дней на количество дней, когда товар был в наличии;Модель сотрудничества с Ozon — зависит от того, с чьего склада продаётся товар (Ozon или продавца) и кто доставляет заказ;Умножаем время доставки между кластерами по всем маршрутам на количество отправленных товаров за 28 дней. Затем суммируем полученные значения и делим на общее количество товаров;Сколько места занимает товар — чем больше объём, тем выше стоимость логистики и размещения товара на складе Ozon;Какой процент с продажи товара составляют расходы на Ozon. Считаем отдельно для схем FBO и FBS;Какой процент с продажи товара составляют расходы на Ozon. Считаем отдельно для схем FBO и FBS;Сколько раз покупатели посмотрели товар в поисковой выдаче и каталоге;Сколько раз покупатели перешли в карточку товара за последние 28 дней;Отношение количества добавлений товара в корзину к количеству просмотров в каталоге и поиске;Отношение количества просмотров карточки к количеству добавлений товара в корзину после просмотра;Процент расходов на продвижение товаров от суммы всех заказов;Процент заказанных товаров, которые не отменили и не вернули;—
Джинсы BIGAR Джинсы мужские бананы;2065032248;НТ/голубой меланж 31;https://www.ozon.ru/product/2065032248;BIGAR;Одежда;Джинсы;Нет;493 205 ₽;+4%;213;1 566 ₽;2 316 ₽;0 ₽;7 из 28;17 271 ₽;7;FBO;35 ч;6,0;49,0%;58,0%;20 614;5 033;0,15%;8,98%;0,0%;45,5%;2025-04-24
Дубленка искусственная Womens mania Дубленка женская WOMEN'S MANIA;2902747831;25975 ЗК/СМ кор 48;https://www.ozon.ru/product/2902747831;Womens mania;Одежда;Дубленка искусственная;Нет;493 204 ₽;0%;36;10 593 ₽;13 700 ₽;63 905 ₽;20 из 28;15 976 ₽;1;FBO;102 ч;24,8;40,0%;53,0%;36 977;14 507;0,01%;1,44%;0,7%;41,6%;2025-09-26
Костюм спортивный 5в1;1560788644;nike5v1SG_SPK M;https://www.ozon.ru/product/1560788644;без бренда;Одежда;Костюм спортивный;Нет;493 182 ₽;+3%;179;2 294 ₽;2 755 ₽;0 ₽;17 из 28;16 933 ₽;6;FBO;46 ч;2,2;47,0%;53,0%;64 853;9 003;0,11%;6,35%;2,5%;64,8%;2024-04-27
Джинсы The80`s Трубы;1597760339;TT_T80_6_38;https://www.ozon.ru/product/1597760339;The80`s;Одежда;Джинсы;Нет;493 028 ₽;+2%;177;0 ₽;2 785 ₽;0 ₽;5 из 28;17 202 ₽;6;FBO;29 ч;4,8;48,0%;55,0%;29 313;5 291;0,08%;11,01%;0,0%;37,8%;2024-06-06
Брюки джоггеры Elaria Fam;3002047047;EJK01/1UZ_44;https://www.ozon.ru/product/3002047047;Elaria Fam;Одежда;Брюки;Нет;492 946 ₽;-20%;336;829 ₽;1 467 ₽;0 ₽;11 из 28;17 396 ₽;12;FBO;50 ч;6,3;54,0%;66,0%;24 935;7 946;0,18%;10,88%;0,0%;50,0%;2025-10-21
Костюм классический Sasheline женский офисный с длинной юбкой и жилеткой;2755380617;KostumZhiletkaUbka2507син L;https://www.ozon.ru/product/2755380617;Sasheline;Одежда;Костюм классический;Нет;492 768 ₽;+55%;126;3 027 ₽;3 911 ₽;0 ₽;12 из 28;16 435 ₽;4;FBO;33 ч;3,2;46,0%;52,0%;103 652;29 050;0,04%;2,46%;2,5%;38,8%;2025-08-26
НЕСКАФÉ Кофе растворимый 500г. 1шт.;3286157791;нескафе;https://www.ozon.ru/product/3286157791;НЕСКАФÉ;Продукты питания;Кофе растворимый;Нет;492 727 ₽;+273%;517;193 ₽;953 ₽;0 ₽;27 из 28;17 490 ₽;18;FBS;0 ч;0,5;38,0%;47,0%;129 023;8 052;0,39%;13,85%;3,5%;95,3%;2025-12-25
Платье by Taisiya Andreeva Вязаная коллекция;2296597973;607 коричневое 48-50;https://www.ozon.ru/product/2296597973;by Taisiya Andreeva;Одежда;Платье;Нет;492 565 ₽;+54%;132;2 697 ₽;3 732 ₽;17 717 ₽;16 из 28;17 717 ₽;5;FBO;34 ч;1,7;46,0%;52,0%;30 741;19 993;0,03%;5,65%;0,5%;52,2%;2025-06-15
Комбинезон утепленный;2944170282;розовый камбез 2;https://www.ozon.ru/product/2944170282;без бренда;Одежда;Комбинезон утепленный;Нет;492 502 ₽;-51%;99;3 142 ₽;4 975 ₽;190 553 ₽;26 из 28;23 819 ₽;5;FBO;88 ч;6,0;40,0%;53,0%;32 933;3 132;0,04%;10,85%;0,9%;35,3%;2025-10-08
Легинсы AGISLOVE AGIS;2839868881;ЛегТеплЖен48;https://www.ozon.ru/product/2839868881;AGISLOVE;Одежда;Легинсы;Нет;492 429 ₽;+20%;605;56 ₽;814 ₽;0 ₽;10 из 28;17 395 ₽;21;FBO;46 ч;1,0;53,0%;65,0%;29 222;9 613;0,16%;15,58%;1,5%;60,6%;2025-09-11
Пуховик Снежная Королева;2423336611;78107300344;https://www.ozon.ru/product/2423336611;Снежная Королева;Одежда;Пуховик;Нет;492 306 ₽;-21%;47;9 029 ₽;10 475 ₽;80 319 ₽;26 из 28;20 080 ₽;2;FBO;49 ч;10,8;39,0%;52,0%;21 631;5 088;0,06%;3,65%;0,0%;19,1%;2025-07-07
Комплект одежды IHOMELUX хиты ;1749697441;О41/черный люрекс_48-50;https://www.ozon.ru/product/1749697441;IHOMELUX;Одежда;Комплект одежды;Нет;492 239 ₽;-74%;93;2 114 ₽;5 293 ₽;0 ₽;1 из 28;18 014 ₽;3;FBO;28 ч;5,4;46,0%;52,0%;44 795;8 384;0,02%;12,35%;0,1%;27,9%;2024-11-05
Комбинезон XVOYA Apres-Ski;3163197045;kombezblackL/155-160;https://www.ozon.ru/product/3163197045;XVOYA;Одежда;Комбинезон;Да;492 189 ₽;0%;18;20 228 ₽;27 344 ₽;0 ₽;24 из 28;33 442 ₽;1;FBO;0 ч;23,6;45,0%;50,0%;11 404;2 812;0,03%;1,88%;1,2%;5,5%;2025-11-27
Лонгслив ChristianGenerale Collection Для женщин;1509174213;Лонгслив_REAL/FUT_ЧЕРНЫЙ_54;https://www.ozon.ru/product/1509174213;ChristianGenerale Collection;Одежда;Лонгслив;Нет;492 188 ₽;+31%;705;54 ₽;698 ₽;0 ₽;21 из 28;17 367 ₽;25;FBO;53 ч;0,9;53,0%;66,0%;142 036;26 578;0,05%;11,67%;1,3%;64,2%;2024-03-28
Костюм классический FALCO HOME;1791282114;Костюм_солнце_бежFH46;https://www.ozon.ru/product/1791282114;FALCO HOME;Одежда;Костюм классический;Нет;492 124 ₽;+62%;171;2 307 ₽;2 878 ₽;0 ₽;13 из 28;17 363 ₽;6;FBO;49 ч;3,3;47,0%;54,0%;92 775;32 814;0,01%;2,42%;1,4%;53,8%;2024-12-18
Пуховик SELA;2838815632;SL5810011118/37/M;https://www.ozon.ru/product/2838815632;SELA;Одежда;Пуховик;Нет;492 043 ₽;+72%;76;6 123 ₽;6 474 ₽;149 422 ₽;24 из 28;21 346 ₽;3;FBO;78 ч;7,2;39,0%;52,0%;17 971;4 781;0,12%;5,89%;0,0%;25,0%;2025-09-11
Костюм классический Кашемировая коллекция;3102475142;Кашемир_дымка_52;https://www.ozon.ru/product/3102475142;без бренда;Одежда;Костюм классический;Нет;492 014 ₽;+21%;112;3 481 ₽;4 393 ₽;0 ₽;16 из 28;17 095 ₽;4;FBO;45 ч;2,9;46,0%;52,0%;112 243;12 052;0,01%;5,41%;0,0%;40,1%;2025-11-13
Бомбер Alpha Industries;1360204441;MJC22000C1_001 XXL;https://www.ozon.ru/product/1360204441;Alpha Industries;Одежда;Бомбер;Нет;492 014 ₽;0%;24;14 084 ₽;20 501 ₽;314 299 ₽;27 из 28;24 177 ₽;1;FBS;0 ч;8,0;38,0%;49,0%;4 212;5 828;0,40%;2,88%;0,0%;29,1%;2023-12-26
Пижама Y2K-STYLE женская с брюками;2227316149;Palma[2];https://www.ozon.ru/product/2227316149;Y2K-STYLE;Одежда;Пижама;Нет;492 005 ₽;+6 044%;328;1 176 ₽;1 500 ₽;37 456 ₽;10 из 28;18 673 ₽;12;FBO;28 ч;1,8;49,0%;57,0%;296 831;32 533;0,01%;4,86%;5,7%;65,2%;2025-06-03
Джинсы ДжиДжинс;1994766119;джинсы-широкие-RR7012-30;https://www.ozon.ru/product/1994766119;JeeJean`s;Одежда;Джинсы;Нет;491 958 ₽;+16%;163;2 430 ₽;3 018 ₽;0 ₽;18 из 28;17 385 ₽;6;FBO;28 ч;2,4;47,0%;53,0%;5 783;3 827;0,25%;10,26%;0,2%;39,8%;2025-04-02
Пуховик PUMA Style Hooded Down Jacket;2345250403;68838987;https://www.ozon.ru/product/2345250403;PUMA;Одежда;Пуховик;Нет;491 854 ₽;+59%;27;13 844 ₽;18 217 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;21,6;40,0%;52,0%;55 202;10 366;0,01%;1,27%;3,0%;0,0%;0001-01-01
Пуховик POSTERNAK  Зима;1689633180;П0001_черн_42;https://www.ozon.ru/product/1689633180;POSTERNAK ;Одежда;Пуховик;Нет;491 764 ₽;-54%;23;20 235 ₽;21 381 ₽;0 ₽;9 из 28;16 810 ₽;1;FBO;28 ч;35,4;40,0%;52,0%;3 457;3 789;0,14%;3,90%;0,0%;21,7%;2024-09-11
Кофе в зернах 1 кг, 100% Арабика, Итальянская обжарка, BELLO COFFEE ITALY ESPRESSO BELISSIMO премиум, зерновой свежеобжаренный кофе;1202587911;BC-BELISSIMO-1000;https://www.ozon.ru/product/1202587911;BELLO COFFEE;Продукты питания;Кофе в зернах;Нет;491 741 ₽;-3%;283;1 342 ₽;1 738 ₽;0 ₽;17 из 28;18 002 ₽;10;FBO;36 ч;2,7;36,0%;44,0%;18 044;6 398;0,20%;7,25%;1,3%;76,7%;2023-09-21
Пуховик Снежная Королева оверсайз;2476760091;77125800342;https://www.ozon.ru/product/2476760091;Снежная Королева;Одежда;Пуховик;Нет;491 739 ₽;+47%;32;13 890 ₽;15 367 ₽;0 ₽;18 из 28;14 848 ₽;1;FBO,FBS;45 ч;10,8;38,0%;50,0%;7 309;2 538;0,10%;3,07%;0,0%;34,3%;2025-07-15
Джинсы SAJ Бананы;1687802524;warmmen/бананы/черный*36;https://www.ozon.ru/product/1687802524;SAJ;Одежда;Джинсы;Нет;491 663 ₽;-42%;205;1 608 ₽;2 398 ₽;0 ₽;9 из 28;17 283 ₽;7;FBO;31 ч;4,8;47,0%;54,0%;21 709;6 052;0,06%;7,18%;6,3%;38,0%;2024-09-09
Пуховик BOMFURS;1579335472;111122cher54;https://www.ozon.ru/product/1579335472;BOMFURS;Одежда;Пуховик;Нет;491 645 ₽;-38%;18;25 666 ₽;27 314 ₽;0 ₽;20 из 28;17 559 ₽;1;FBO;41 ч;31,2;39,0%;51,0%;13 072;2 503;0,00%;6,11%;0,0%;33,3%;2024-05-20
Шуба искусственная iBERRY зима;1755642896;8810бел-L;https://www.ozon.ru/product/1755642896;iBERRY;Одежда;Шуба искусственная;Нет;491 615 ₽;+178%;53;7 350 ₽;9 276 ₽;192 658 ₽;25 из 28;24 082 ₽;3;FBO;63 ч;27,5;42,0%;56,0%;79 404;8 054;0,00%;2,93%;2,6%;28,3%;2024-11-11
Кофе капсульный Nescafe Dolce Gusto Espresso Intenso, для системы Dolce Gusto, 16 шт;465402568;P1044;https://www.ozon.ru/product/465402568;Nescafe Dolce Gusto;Продукты питания;Кофе в капсулах;Нет;491 600 ₽;-25%;629;1 ₽;782 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;1,8;39,0%;49,0%;39 892;12 895;0,60%;5,34%;0,0%;0,0%;0001-01-01
Кардиган Golden Loop Old money;3046940733;kardig_korot_zel;https://www.ozon.ru/product/3046940733;Golden Loop;Одежда;Кардиган;Нет;491 454 ₽;+290%;359;729 ₽;1 369 ₽;106 451 ₽;26 из 28;21 290 ₽;16;FBO;72 ч;4,7;52,0%;63,0%;203 748;26 618;0,03%;5,75%;2,0%;61,2%;2025-10-31
Брюки палаццо Betty Strong с карманами;2819775250;БрюкиЗимКор 42-44;https://www.ozon.ru/product/2819775250;Betty Strong;Одежда;Брюки;Нет;491 360 ₽;-35%;141;2 920 ₽;3 485 ₽;73 267 ₽;26 из 28;18 474 ₽;5;FBO;72 ч;2,4;46,0%;52,0%;13 146;12 839;0,09%;4,54%;0,6%;36,1%;2025-09-07
Пуховик Columbia;1657776197;XTIF5DDNYF;https://www.ozon.ru/product/1657776197;Columbia;Одежда;Пуховик;Нет;491 313 ₽;-17%;59;6 669 ₽;8 327 ₽;258 889 ₽;26 из 28;26 943 ₽;3;FBO;79 ч;30,3;44,0%;59,0%;6 521;2 473;0,18%;10,31%;0,0%;33,8%;2024-08-14
Куртка Befree Woman Mix&Match;2943117289;BF2541601017-37-XS/S/170;https://www.ozon.ru/product/2943117289;Befree;Одежда;Куртка;Нет;491 254 ₽;-34%;153;2 728 ₽;3 211 ₽;103 160 ₽;24 из 28;20 632 ₽;6;FBO;77 ч;12,0;43,0%;59,0%;45 424;11 577;0,06%;3,80%;0,0%;28,7%;2025-10-08
Комбинезон утепленный WALK Комбинезон;1629902649;ST2107007CH-176XL;https://www.ozon.ru/product/1629902649;WALK;Одежда;Комбинезон утепленный;Нет;491 230 ₽;-24%;22;21 214 ₽;22 329 ₽;4 093 583 ₽;28 из 28;163 743 ₽;7;FBO;80 ч;33,9;39,0%;52,0%;1 929;1 034;0,05%;7,15%;0,0%;45,4%;2024-07-16
Брюки палаццо NS GARB женские классические;2603509382;БЖ-4/черный44;https://www.ozon.ru/product/2603509382;NS GARB;Одежда;Брюки;Нет;491 169 ₽;-23%;208;1 ₽;2 361 ₽;0 ₽;8 из 28;17 721 ₽;8;FBO;34 ч;1,8;47,0%;54,0%;42 470;6 172;0,10%;13,13%;0,0%;32,2%;2025-08-04
Кофе молотый Poetti Leggenda ORO, 250 г;686577015;18009;https://www.ozon.ru/product/686577015;Poetti;Продукты питания;Кофе молотый;Нет;491 094 ₽;-21%;1 048;1 ₽;469 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;1,4;41,0%;53,0%;91 471;26 226;0,51%;4,38%;3,8%;0,0%;0001-01-01
"Кофе в зернах, Арабика 100 %, 1 кг, Бразилия Сантос, средняя обжарка ""Nice Coffee""";1857638981;001;https://www.ozon.ru/product/1857638981;без бренда;Продукты питания;Кофе в зернах;Нет;491 087 ₽;+23%;373;1 ₽;1 317 ₽;0 ₽;3 из 28;17 591 ₽;13;FBO;28 ч;2,1;38,0%;46,0%;23 007;4 905;0,45%;12,94%;0,0%;96,4%;2025-02-05
Рубашка Cassa Marina Slim Fit;654927286;PalermoS2212110310БелыйL;https://www.ozon.ru/product/654927286;Cassa Marina;Одежда;Рубашка;Нет;491 078 ₽;+15%;245;1 351 ₽;2 004 ₽;0 ₽;9 из 28;16 859 ₽;8;FBO;36 ч;2,6;48,0%;55,0%;2 909;2 427;0,82%;18,08%;0,0%;57,5%;2022-07-28
Комбинезон Bona Fide;223489764;BFK-104-6-221-013-Cyberpunk_S;https://www.ozon.ru/product/223489764;Bona Fide;Одежда;Комбинезон;Нет;491 053 ₽;-19%;98;4 247 ₽;5 011 ₽;0 ₽;15 из 28;17 535 ₽;4;FBO;38 ч;7,0;47,0%;52,0%;32 754;11 659;0,03%;3,32%;1,1%;40,8%;2021-01-18
Брюки Happyfox школьные для девочек;1114552799;00-00692566;https://www.ozon.ru/product/1114552799;Happyfox;Одежда;Брюки;Нет;491 026 ₽;+81%;481;635 ₽;1 021 ₽;0 ₽;7 из 28;17 427 ₽;17;FBO;28 ч;3,9;53,0%;65,0%;10 043;6 747;0,31%;22,15%;0,0%;43,2%;2023-08-02
Легинсы Glam Woman легинсы;2115493559;373913514_44;https://www.ozon.ru/product/2115493559;Glam Woman;Одежда;Легинсы;Нет;491 023 ₽;+3%;307;1 224 ₽;1 599 ₽;0 ₽;8 из 28;17 361 ₽;11;FBO;35 ч;2,7;50,0%;59,0%;24 076;6 915;0,29%;17,54%;0,0%;47,2%;2025-05-09
Пуховик HUGO;3101590194;50547222_001;https://www.ozon.ru/product/3101590194;HUGO;Одежда;Пуховик;Нет;490 939 ₽;+102%;11;38 990 ₽;44 631 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;14,4;38,0%;49,0%;5 101;1 547;0,03%;2,58%;0,0%;0,0%;0001-01-01
Свитшот ТВОЕ;3014619170;105072_черный_M_00BK;https://www.ozon.ru/product/3014619170;ТВОЕ;Одежда;Свитшот;Нет;490 714 ₽;+34%;505;561 ₽;972 ₽;17 262 ₽;15 из 28;17 262 ₽;18;FBO;58 ч;10,5;65,0%;84,0%;29 987;7 548;0,25%;15,46%;0,0%;51,8%;2025-10-24
Пижама UNAMI муслин со штанами;3148401138;UNA07/серый/42-44;https://www.ozon.ru/product/3148401138;UNAMI;Одежда;Пижама;Нет;490 693 ₽;+62%;128;3 192 ₽;3 834 ₽;0 ₽;17 из 28;17 264 ₽;5;FBO;49 ч;1,9;46,0%;52,0%;133 708;28 692;0,04%;2,48%;5,4%;55,9%;2025-11-24
Джинсы  мужские классические;1580497056;S0117(35);https://www.ozon.ru/product/1580497056;без бренда;Одежда;Джинсы;Нет;490 678 ₽;-30%;256;0 ₽;1 917 ₽;0 ₽;11 из 28;17 338 ₽;9;FBO;37 ч;4,4;50,0%;58,0%;26 938;5 514;0,07%;9,48%;0,3%;55,4%;2024-05-21
Дубленка натуральная Maison David PARIS;1960651526;4643279;https://www.ozon.ru/product/1960651526;Maison David PARIS;Одежда;Дубленка натуральная;Нет;490 669 ₽;+150%;21;20 269 ₽;23 365 ₽;18 173 ₽;26 из 28;18 173 ₽;1;FBS;0 ч;43,2;40,0%;52,0%;10 092;2 654;0,06%;3,50%;0,0%;38,0%;2025-03-22
Брюки прямые ZERTELLI кожаные на резинке;3258207440;Шарлиз_кож_хаки_48;https://www.ozon.ru/product/3258207440;ZERTELLI;Одежда;Брюки;Нет;490 658 ₽;+402 408%;189;1 994 ₽;2 596 ₽;0 ₽;5 из 28;15 872 ₽;6;FBO;28 ч;2,4;45,0%;50,0%;45 342;18 825;0,01%;4,41%;3,2%;50,7%;2025-12-19
Пуховик Grape женский зимний;2834581497;68032-56;https://www.ozon.ru/product/2834581497;Grape;Одежда;Пуховик;Нет;490 594 ₽;+20%;50;7 487 ₽;9 812 ₽;154 009 ₽;24 из 28;22 001 ₽;2;FBO;92 ч;28,8;42,0%;56,0%;100 578;10 494;0,00%;2,34%;0,7%;38,0%;2025-09-10
Халат Fox Max;1488874289;Хал_Ваф_СИН_ 3XL;https://www.ozon.ru/product/1488874289;Fox Max;Одежда;Халат;Нет;490 574 ₽;-51%;173;1 418 ₽;2 836 ₽;0 ₽;18 из 28;17 309 ₽;6;FBO;49 ч;13,0;52,0%;61,0%;260 165;23 546;0,03%;3,59%;18,4%;65,8%;2024-03-21
Легинсы Euphoria легинсы;1805416689;12-0107-001/M;https://www.ozon.ru/product/1805416689;Euphoria;Одежда;Легинсы;Нет;490 403 ₽;+58%;366;413 ₽;1 340 ₽;0 ₽;8 из 28;17 468 ₽;13;FBO;31 ч;0,6;48,0%;56,0%;21 477;13 809;0,33%;8,34%;0,0%;57,3%;2024-12-27
Дубленка натуральная Maison David PARIS;2347387407;4773606;https://www.ozon.ru/product/2347387407;Maison David PARIS;Одежда;Дубленка натуральная;Нет;490 312 ₽;+58%;17;25 483 ₽;28 842 ₽;0 ₽;23 из 28;15 368 ₽;1;FBS;0 ч;61,1;40,0%;53,0%;4 203;379;0,04%;5,54%;0,0%;17,6%;2025-06-24
Джинсы Zeem широкие;1747426650;широкие/меланж/27;https://www.ozon.ru/product/1747426650;Zeem;Одежда;Джинсы;Нет;490 125 ₽;+39%;183;1 647 ₽;2 678 ₽;0 ₽;11 из 28;17 098 ₽;6;FBO;41 ч;2,2;48,0%;55,0%;39 084;6 941;0,05%;9,58%;0,3%;53,0%;2024-11-02
Кофе в зернах Lavazza Espresso Barista 1 кг;1914484100;FMN Espresso Barista 1 кг;https://www.ozon.ru/product/1914484100;Lavazza;Продукты питания;Кофе в зернах;Нет;490 120 ₽;+100%;304;1 ₽;1 612 ₽;0 ₽;23 из 28;17 436 ₽;11;FBO,FBS;41 ч;5,4;39,0%;48,0%;31 733;6 285;0,46%;7,65%;2,4%;95,2%;2025-03-04
Блузка SOLL;425812701;SBD01/1_44;https://www.ozon.ru/product/425812701;SOLL;Одежда;Блузка;Нет;490 011 ₽;+17%;399;0 ₽;1 228 ₽;0 ₽;9 из 28;17 357 ₽;14;FBO;31 ч;1,5;51,0%;61,0%;223 166;19 842;0,03%;6,49%;0,9%;55,3%;2021-12-13
Комплект верхней одежды TravelDen Style Горные лыжи и Сноуборд;1711266684;Костюм_горнолыж_жен_розовый-синий_50/XXL;https://www.ozon.ru/product/1711266684;TravelDen Style;Одежда;Комплект верхней одежды;Нет;489 950 ₽;-32%;29;15 253 ₽;16 895 ₽;1 421 976 ₽;28 из 28;67 713 ₽;4;FBO;84 ч;28,5;40,0%;52,0%;32 058;5 046;0,04%;4,32%;0,0%;44,8%;2024-10-01
Куртка VOLIA;3049810513;куртка_средняя_бежевая_M;https://www.ozon.ru/product/3049810513;VOLIA;Одежда;Куртка;Нет;489 761 ₽;-16%;79;5 000 ₽;6 200 ₽;219 495 ₽;27 из 28;24 388 ₽;4;FBO;70 ч;8,7;40,0%;53,0%;53 031;10 243;0,02%;3,42%;0,0%;30,3%;2025-10-31
Легинсы GARMENT;1299299711;Лосины 5032 Роза 48;https://www.ozon.ru/product/1299299711;GARMENT;Одежда;Легинсы;Нет;489 733 ₽;+85%;523;1 ₽;936 ₽;0 ₽;15 из 28;17 394 ₽;19;FBO;67 ч;2,9;53,0%;65,0%;342 957;20 864;0,02%;7,40%;11,6%;75,5%;2023-11-20
Кофе в зернах, ТОЧКА БАЛАНСА, 100% Арабика, Эфиопия Сидамо, 250 г;2884274410;Эфиопия_250;https://www.ozon.ru/product/2884274410;без бренда;Продукты питания;Кофе в зернах;Нет;489 632 ₽;-27%;1 326;1 ₽;369 ₽;0 ₽;8 из 28;17 142 ₽;46;FBO;28 ч;1,2;48,0%;66,0%;127 321;25 598;0,33%;9,56%;14,7%;94,8%;2025-09-22
Джинсы Vox Echoo бананы;1424702788;ЧерныйБанан(30размер);https://www.ozon.ru/product/1424702788;Vox Echoo;Одежда;Джинсы;Нет;489 612 ₽;-45%;168;2 198 ₽;2 914 ₽;0 ₽;6 из 28;16 905 ₽;6;FBO;31 ч;6,7;48,0%;55,0%;5 707;3 539;0,12%;8,84%;0,3%;33,3%;2024-02-17
Джинсы Zeem широкие;1796236771;широкие/черные/26;https://www.ozon.ru/product/1796236771;Zeem;Одежда;Джинсы;Нет;489 431 ₽;+2%;142;2 527 ₽;3 447 ₽;0 ₽;8 из 28;17 087 ₽;5;FBO;28 ч;2,2;46,0%;53,0%;3 501;4 429;0,88%;15,19%;0,0%;43,6%;2024-12-21
Худи RUMIA Зип худи, кофта зипка укороченная, толстовка женская;2726525588;26W-009_светло-серый_42-44;https://www.ozon.ru/product/2726525588;RUMIA;Одежда;Худи;Нет;489 398 ₽;-24%;408;1 ₽;1 200 ₽;0 ₽;9 из 28;17 261 ₽;14;FBO;29 ч;11,7;65,0%;83,0%;171 708;36 824;0,09%;4,55%;0,0%;45,0%;2025-08-21
Костюм спортивный RUMIA теплый;2824381369;26W-020_темно-серый_46-50;https://www.ozon.ru/product/2824381369;RUMIA;Одежда;Костюм спортивный;Нет;489 340 ₽;-25%;158;2 136 ₽;3 097 ₽;0 ₽;9 из 28;17 115 ₽;6;FBO;32 ч;13,8;52,0%;62,0%;163 224;44 005;0,02%;1,85%;0,0%;37,9%;2025-09-08
Куртка ТВОЕ;2663781451;B5491_черный_XL_01BK;https://www.ozon.ru/product/2663781451;ТВОЕ;Одежда;Куртка;Нет;489 301 ₽;+77%;187;2 042 ₽;2 617 ₽;0 ₽;9 из 28;16 379 ₽;6;FBO;42 ч;22,7;50,0%;69,0%;77 552;7 912;0,05%;8,88%;0,0%;29,4%;2025-08-12
Джинсы WEARELSts СКИННИ в обтяжку ;1480233912;AMERICAN-WOMANS-JEANS32;https://www.ozon.ru/product/1480233912;WEARELSts;Одежда;Джинсы;Нет;489 198 ₽;-6%;222;1 781 ₽;2 204 ₽;0 ₽;10 из 28;17 537 ₽;8;FBO;31 ч;4,1;49,0%;57,0%;6 068;2 927;0,64%;23,26%;0,0%;39,6%;2024-03-18
Футболка Smite футболки;1849442715;tshirtwhiteL50;https://www.ozon.ru/product/1849442715;Smite;Одежда;Футболка;Нет;489 185 ₽;+33%;1 429;0 ₽;342 ₽;82 709 ₽;19 из 28;20 679 ₽;60;FBO;76 ч;2,0;52,0%;83,0%;427 146;32 641;0,08%;7,62%;19,6%;79,4%;2025-01-27
Свежеобжаренный кофе в зернах 1кг Табера Пура Вида Оскура 100% арабика;652616710;8790;https://www.ozon.ru/product/652616710;TABERA;Продукты питания;Кофе в зернах;Нет;489 089 ₽;+4%;204;1 848 ₽;2 397 ₽;0 ₽;27 из 28;19 121 ₽;8;FBS;0 ч;4,7;36,0%;43,0%;31 433;3 275;0,25%;10,19%;7,9%;97,5%;2022-07-26
"Кофе в зернах EGOISTE ""Espresso"", 1000 г";2957776718;737474727;https://www.ozon.ru/product/2957776718;EGOISTE;Продукты питания;Кофе в зернах;Нет;489 034 ₽;+12%;319;889 ₽;1 533 ₽;0 ₽;27 из 28;18 248 ₽;11;FBO,FBS;28 ч;4,3;39,0%;48,0%;22 641;6 632;0,27%;13,02%;1,9%;99,0%;2025-10-11
Комплект одежды Наша История новорожденные;1682533781;7РП-КОНФС-56;https://www.ozon.ru/product/1682533781;Наша История;Одежда;Комплект одежды;Нет;489 034 ₽;+72%;253;1 450 ₽;1 933 ₽;0 ₽;7 из 28;17 055 ₽;9;FBO;31 ч;1,8;48,0%;55,0%;113 239;23 555;0,13%;6,55%;5,4%;82,2%;2024-09-05
Свитер Annemore;1717770718;anm1619sweater-lurex/синий_m-l;https://www.ozon.ru/product/1717770718;Annemore;Одежда;Свитер;Нет;488 991 ₽;+11%;146;2 915 ₽;3 349 ₽;0 ₽;15 из 28;17 145 ₽;5;FBO;45 ч;6,0;47,0%;52,0%;17 090;13 173;0,18%;4,40%;0,0%;45,2%;2024-10-08
